City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
soure,14,BR,1642701851,72,-0.7167,-48.5233,83.88,13.96
kushmurun,100,KZ,1642701851,94,52.4503,64.6311,3.22,1.9
nola,73,IT,1642701851,99,40.922,14.5329,53.55,5.68
ventspils,100,LV,1642701852,100,57.3894,21.5606,31.93,31.07
ostrovnoy,100,RU,1642701483,78,68.0531,39.5131,18.64,6.62
mount pleasant,20,US,1642701852,59,32.7941,-79.8626,73.0,8.99
ubud,100,ID,1642701691,88,-8.5098,115.2654,76.32,4.9
airai,100,TL,1642701546,99,-8.9266,125.4092,61.03,3.44
makaha,0,US,1642701852,94,21.4694,-158.2175,75.11,0.0
pemangkat,100,ID,1642701853,86,1.1667,108.9667,76.86,4.54
swellendam,0,ZA,1642701853,54,-34.0226,20.4417,72.55,8.21
port pirie,92,AU,1642701437,52,-33.1833,138.0167,80.69,9.15
imeni poliny osipenko,71,RU,1642701853,100,52.4201,136.4853,-24.25,1.95
luau,99,AO,1642701854,90,-10.7073,22.2247,65.39,0.96
tongren,100,CN,1642701854,94,27.7172,109.1853,46.33,4.05
zhetysay,0,KZ,1642701855,63,40.7333,68.3,38.05,5.84
westerland,80,DE,1642701855,55,54.9079,8.3033,35.62,16.11
huangchuan,100,CN,1642701855,75,32.1272,115.0394,39.04,15.84
wanaka,100,NZ,1642701735,73,-44.7,169.15,57.11,1.01
agadir,100,MA,1642701856,40,30.4202,-9.5982,68.45,7.34
xihe,100,CN,1642701856,76,31.6864,113.4659,38.98,10.2
seymchan,79,RU,1642701661,100,62.8833,152.4333,-45.74,0.63
oktyabrskoye,100,RU,1642701857,100,43.0645,44.7417,19.54,2.24
tacuarembo,5,UY,1642701857,30,-31.7333,-55.9833,101.16,9.17
mogadishu,42,SO,1642701435,82,2.0371,45.3438,78.96,19.64
kruisfontein,2,ZA,1642701529,79,-34.0033,24.7314,73.89,16.64
iquitos,75,PE,1642701824,74,-3.7481,-73.2472,84.24,4.61
mehamn,75,NO,1642701474,86,71.0357,27.8492,33.98,40.29
erdenet,28,MN,1642701582,98,49.0333,104.0833,1.9,1.99
soc trang,45,VN,1642701858,85,9.6033,105.98,73.81,8.75
merrill,0,US,1642701802,63,45.1805,-89.6835,5.81,0.0
tommot,65,RU,1642701858,99,58.9564,126.2925,-23.64,1.16
hambantota,50,LK,1642701495,76,6.1241,81.1185,74.57,8.32
roald,100,NO,1642701858,86,62.5833,6.1333,35.01,11.5
mahon,20,ES,1642701859,87,39.8885,4.2658,46.96,6.91
panjab,0,AF,1642701859,51,34.388,67.0233,-5.78,2.28
griffith,40,US,1642701859,68,41.5284,-87.4237,20.62,1.01
honiara,100,SB,1642701348,92,-9.4333,159.95,76.41,1.19
zapolyarnyy,79,RU,1642701860,99,69.4154,30.8136,27.68,7.27
lingyuan,1,CN,1642701860,55,41.24,119.4011,11.08,2.19
olinda,40,BR,1642701860,70,-8.0089,-34.8553,83.93,11.5
cabo san lucas,100,MX,1642701405,71,22.8909,-109.9124,77.5,3.0
tocopilla,54,CL,1642701526,72,-22.092,-70.1979,73.56,9.64
rosarito,0,MX,1642701861,40,32.3333,-117.0333,70.21,2.82
monroe,100,US,1642701585,71,43.1501,-77.6831,16.41,3.0
bonavista,100,CA,1642701861,89,48.6499,-53.1147,42.12,23.73
asau,41,RO,1642701436,67,46.4333,26.4,36.52,8.52
zhongshu,10,CN,1642701861,96,24.5167,103.7667,42.51,4.45
constitucion,0,CL,1642701472,50,-35.3333,-72.4167,66.34,13.51
kirovohrad,48,UA,1642701862,90,48.5132,32.2597,26.29,7.45
